individual.local.identifier,timestamp,yCoords,xCoords
1,2022.02.22 16:01:37,31.087441,-85.821413
1,2022.02.22 16:16:55,31.087421,-85.821385
1,2022.02.22 16:31:01,31.087507,-85.821394
1,2022.02.22 16:46:07,31.0874,-85.821431
1,2022.02.22 17:01:01,31.0873,-85.821451
1,2022.02.22 17:15:51,31.08746,-85.821417
1,2022.02.22 17:30:50,31.087601,-85.821511
1,2022.02.22 17:46:06,31.087342,-85.821391
1,2022.02.22 18:01:55,31.087409,-85.821306
1,2022.02.22 18:16:34,31.087404,-85.821458
1,2022.02.22 18:31:07,31.087298,-85.821376
1,2022.02.22 18:46:08,31.087383,-85.821437
1,2022.02.22 19:02:00,31.087403,-85.821382
1,2022.02.22 19:16:06,31.087383,-85.821388
1,2022.02.22 19:31:13,31.087387,-85.821388
1,2022.02.22 19:45:47,31.087499,-85.821359
1,2022.02.22 20:00:51,31.087435,-85.821419
1,2022.02.22 20:16:01,31.087401,-85.821395
1,2022.02.22 20:30:49,31.087493,-85.821421
1,2022.02.22 20:46:36,31.087398,-85.821332
1,2022.02.22 21:02:06,31.087493,-85.821529
1,2022.02.22 21:17:30,31.08752,-85.82143
1,2022.02.22 21:32:36,31.087441,-85.821461
1,2022.02.22 21:47:37,31.087414,-85.821417
1,2022.02.22 22:00:42,31.08743,-85.821382
1,2022.02.22 22:16:10,31.087564,-85.821247
1,2022.02.22 22:31:25,31.087431,-85.821309
1,2022.02.22 22:46:06,31.087341,-85.821395
1,2022.02.22 23:01:26,31.08742,-85.821387
1,2022.02.22 23:16:27,31.087348,-85.821317
1,2022.02.22 23:31:07,31.087645,-85.821354
1,2022.02.22 23:46:38,31.087353,-85.821407
1,2022.02.23 00:01:23,31.087419,-85.821404
1,2022.02.23 00:15:50,31.087362,-85.821443
1,2022.02.23 00:30:52,31.087423,-85.821376
1,2022.02.23 00:45:45,31.087393,-85.821376
1,2022.02.23 01:00:51,31.087409,-85.82135
1,2022.02.23 01:15:50,31.087417,-85.821462
1,2022.02.23 01:30:39,31.087386,-85.821406
1,2022.02.23 01:46:01,31.087368,-85.821326
1,2022.02.23 02:01:01,31.087405,-85.821353
1,2022.02.23 02:15:50,31.087367,-85.821461
1,2022.02.23 02:30:50,31.087396,-85.821466
1,2022.02.23 02:45:50,31.087435,-85.821404
1,2022.02.23 03:01:06,31.087431,-85.821367
1,2022.02.23 03:16:06,31.087376,-85.821366
1,2022.02.23 03:31:00,31.08734,-85.821351
1,2022.02.23 03:45:50,31.087318,-85.821443
1,2022.02.23 04:00:50,31.087399,-85.821529
1,2022.02.23 04:15:51,31.08742,-85.821316
1,2022.02.23 04:31:08,31.08711,-85.821314
1,2022.02.23 04:45:56,31.087369,-85.821213
1,2022.02.23 05:00:50,31.087286,-85.821392
1,2022.02.23 05:15:51,31.087554,-85.821345
1,2022.02.23 05:30:54,31.08734,-85.821399
1,2022.02.23 05:46:02,31.087438,-85.821391
1,2022.02.23 06:00:51,31.087394,-85.821368
1,2022.02.23 06:16:06,31.087406,-85.821391
1,2022.02.23 06:31:27,31.087327,-85.821411
1,2022.02.23 06:45:50,31.087416,-85.821477
1,2022.02.23 07:01:24,31.087421,-85.821445
1,2022.02.23 07:15:44,31.087302,-85.821474
1,2022.02.23 07:31:24,31.087425,-85.821213
1,2022.02.23 07:46:30,31.087364,-85.82138
1,2022.02.23 08:01:01,31.08731,-85.821436
1,2022.02.23 08:16:37,31.087402,-85.821466
1,2022.02.23 08:31:30,31.087426,-85.821511
1,2022.02.23 08:45:56,31.087409,-85.82136
1,2022.02.23 09:00:54,31.08744,-85.821272
1,2022.02.23 09:15:51,31.087379,-85.821451
1,2022.02.23 09:31:08,31.087151,-85.821411
1,2022.02.23 09:45:59,31.087586,-85.821427
1,2022.02.23 10:01:10,31.087559,-85.821382
1,2022.02.23 10:17:01,31.087403,-85.821594
1,2022.02.23 10:30:52,31.087348,-85.821311
1,2022.02.23 10:46:01,31.087401,-85.821398
1,2022.02.23 11:00:37,31.087356,-85.821437
1,2022.02.23 11:16:06,31.087389,-85.821467
1,2022.02.23 11:30:36,31.08741,-85.821445
1,2022.02.23 11:46:25,31.08721,-85.82159
1,2022.02.23 12:01:20,31.087519,-85.821141
1,2022.02.23 12:15:42,31.087428,-85.82129
1,2022.02.23 12:30:40,31.087425,-85.821307
1,2022.02.23 12:46:00,31.087288,-85.821337
1,2022.02.23 13:01:33,31.087498,-85.821385
1,2022.02.23 13:16:06,31.087439,-85.821608
1,2022.02.23 13:31:14,31.087264,-85.821163
1,2022.02.23 13:46:00,31.087456,-85.821491
1,2022.02.23 14:01:06,31.08736,-85.82123
1,2022.02.23 14:16:06,31.087415,-85.821458
1,2022.02.23 14:30:55,31.087817,-85.821204
1,2022.02.23 14:45:37,31.087379,-85.821465
1,2022.02.23 15:00:55,31.087531,-85.82143
1,2022.02.23 15:15:55,31.087502,-85.821364
1,2022.02.23 15:30:54,31.087463,-85.821353
1,2022.02.23 15:46:30,31.087397,-85.821397
1,2022.02.23 16:01:00,31.087363,-85.821417
1,2022.02.23 16:15:55,31.087415,-85.821402
1,2022.02.23 16:31:01,31.087338,-85.821451
1,2022.02.23 16:46:07,31.087303,-85.821485
1,2022.02.23 17:01:31,31.087309,-85.821178
1,2022.02.23 17:16:06,31.087412,-85.821318
1,2022.02.23 17:30:42,31.087514,-85.821415
1,2022.02.23 17:46:02,31.087459,-85.821399
1,2022.02.23 18:01:27,31.087344,-85.821354
1,2022.02.23 18:15:55,31.087402,-85.821406
1,2022.02.23 18:31:02,31.087486,-85.821446
1,2022.02.23 18:46:07,31.087759,-85.821391
1,2022.02.23 19:01:07,31.087506,-85.821533
1,2022.02.23 19:15:50,31.087695,-85.821492
1,2022.02.23 19:31:06,31.08742,-85.821422
1,2022.02.23 19:46:07,31.087481,-85.821403
1,2022.02.23 20:00:50,31.087382,-85.821402
1,2022.02.23 20:16:26,31.087415,-85.821404
1,2022.02.23 20:30:41,31.087379,-85.82147
1,2022.02.23 20:45:38,31.087455,-85.821397
1,2022.02.23 21:01:06,31.087406,-85.821408
1,2022.02.23 21:16:06,31.087367,-85.82132
1,2022.02.23 21:30:55,31.087443,-85.821327
1,2022.02.23 21:45:46,31.087497,-85.821364
1,2022.02.23 22:01:00,31.087406,-85.821448
1,2022.02.23 22:17:02,31.087384,-85.82139
1,2022.02.23 22:30:41,31.08732,-85.821431
1,2022.02.23 22:46:12,31.087294,-85.821255
1,2022.02.23 23:00:54,31.087394,-85.821667
1,2022.02.23 23:15:45,31.087414,-85.821468
1,2022.02.23 23:31:31,31.087334,-85.821228
1,2022.02.23 23:46:24,31.087339,-85.82131
1,2022.02.24 00:00:50,31.087412,-85.821241
1,2022.02.24 00:17:24,31.087385,-85.821325
1,2022.02.24 00:30:50,31.087473,-85.821446
1,2022.02.24 00:45:53,31.08782,-85.82158
1,2022.02.24 01:00:49,31.087338,-85.821484
1,2022.02.24 01:16:24,31.087345,-85.821347
1,2022.02.24 01:30:47,31.087403,-85.821443
1,2022.02.24 01:46:00,31.087394,-85.821408
1,2022.02.24 02:00:54,31.087326,-85.821308
1,2022.02.24 02:15:47,31.08734,-85.821347
1,2022.02.24 02:30:50,31.087321,-85.821489
1,2022.02.24 02:45:50,31.087379,-85.821398
1,2022.02.24 03:01:06,31.087371,-85.821332
1,2022.02.24 03:16:01,31.087478,-85.821623
1,2022.02.24 03:31:06,31.087406,-85.821297
1,2022.02.24 03:45:54,31.087363,-85.821367
1,2022.02.24 04:00:55,31.087382,-85.821424
1,2022.02.24 04:15:46,31.087403,-85.821412
1,2022.02.24 04:30:55,31.087379,-85.821431
1,2022.02.24 04:45:42,31.087339,-85.821413
1,2022.02.24 05:01:01,31.087363,-85.82146
1,2022.02.24 05:16:30,31.087178,-85.821472
1,2022.02.24 05:30:52,31.087349,-85.821382
1,2022.02.24 05:46:06,31.087609,-85.821314
1,2022.02.24 06:00:42,31.087488,-85.821478
1,2022.02.24 06:16:31,31.087349,-85.821412
1,2022.02.24 06:30:54,31.08746,-85.821484
1,2022.02.24 06:46:06,31.08743,-85.821375
1,2022.02.24 07:01:07,31.087311,-85.821373
1,2022.02.24 07:16:06,31.087533,-85.821489
1,2022.02.24 07:31:36,31.087384,-85.8212
1,2022.02.24 07:46:00,31.08733,-85.821418
1,2022.02.24 08:00:59,31.087717,-85.821065
1,2022.02.24 08:16:36,31.087447,-85.82147
1,2022.02.24 08:30:54,31.087218,-85.821581
1,2022.02.24 08:45:54,31.087472,-85.821499
1,2022.02.24 09:01:06,31.08752,-85.821443
1,2022.02.24 09:15:52,31.087381,-85.821406
1,2022.02.24 09:30:51,31.087409,-85.821415
1,2022.02.24 09:46:08,31.087626,-85.821301
1,2022.02.24 10:01:06,31.08747,-85.821376
1,2022.02.24 10:16:29,31.087553,-85.821392
1,2022.02.24 10:31:06,31.087466,-85.821502
1,2022.02.24 10:45:54,31.087293,-85.821404
1,2022.02.24 11:00:55,31.087846,-85.821034
1,2022.02.24 11:16:59,31.087233,-85.821398
1,2022.02.24 11:30:43,31.087386,-85.821403
1,2022.02.24 11:46:04,31.087166,-85.82167
1,2022.02.24 12:01:06,31.087343,-85.821459
1,2022.02.24 12:16:35,31.087382,-85.821364
1,2022.02.24 12:30:51,31.08745,-85.821587
1,2022.02.24 12:46:25,31.08744,-85.821416
1,2022.02.24 13:00:50,31.087408,-85.821689
1,2022.02.24 13:16:30,31.087627,-85.821316
1,2022.02.24 13:31:06,31.087323,-85.82157
1,2022.02.24 13:46:24,31.087355,-85.821303
1,2022.02.24 14:00:54,31.087328,-85.821361
1,2022.02.24 14:15:54,31.087647,-85.821247
1,2022.02.24 14:30:54,31.087433,-85.821474
1,2022.02.24 14:45:54,31.08741,-85.821397
1,2022.02.24 15:00:50,31.087449,-85.821279
1,2022.02.24 15:15:50,31.087389,-85.821406
1,2022.02.24 15:31:06,31.087384,-85.821426
1,2022.02.24 15:46:06,31.087402,-85.821453
1,2022.02.24 16:01:10,31.087342,-85.821526
1,2022.02.24 16:15:51,31.087412,-85.821455
1,2022.02.24 16:31:06,31.087683,-85.821327
1,2022.02.24 16:45:47,31.087453,-85.821393
1,2022.02.24 17:03:05,31.087334,-85.82156
1,2022.02.24 17:15:50,31.087536,-85.821297
1,2022.02.24 17:30:50,31.087507,-85.82142
1,2022.02.24 17:46:11,31.087342,-85.821479
1,2022.02.24 18:01:06,31.087342,-85.821392
1,2022.02.24 18:16:30,31.087391,-85.821405
1,2022.02.24 18:31:00,31.087509,-85.821441
1,2022.02.24 18:46:13,31.087325,-85.821503
1,2022.02.24 19:01:06,31.087409,-85.821438
1,2022.02.24 19:16:28,31.087405,-85.821422
1,2022.02.24 19:30:54,31.087301,-85.821464
1,2022.02.24 19:46:06,31.087011,-85.821316
1,2022.02.24 20:01:37,31.087569,-85.821461
1,2022.02.24 20:15:39,31.087399,-85.821329
1,2022.02.24 20:30:59,31.087412,-85.821603
1,2022.02.24 20:45:50,31.087497,-85.821401
1,2022.02.24 21:01:06,31.087386,-85.821404
1,2022.02.24 21:16:00,31.087475,-85.82135
1,2022.02.24 21:31:06,31.087394,-85.821467
1,2022.02.24 21:46:06,31.087555,-85.821335
1,2022.02.24 22:01:11,31.087486,-85.821317
1,2022.02.24 22:17:06,31.087253,-85.821286
1,2022.02.24 22:31:07,31.087304,-85.82171
1,2022.02.24 22:45:50,31.087378,-85.821382
1,2022.02.24 23:01:06,31.087441,-85.821723
1,2022.02.24 23:15:59,31.087449,-85.821572
1,2022.02.24 23:30:54,31.087345,-85.821379
1,2022.02.24 23:46:00,31.087459,-85.821433
1,2022.02.25 00:01:50,31.087388,-85.821566
1,2022.02.25 00:15:37,31.087377,-85.821401
1,2022.02.25 00:30:38,31.087315,-85.821346
1,2022.02.25 00:45:50,31.087498,-85.821481
1,2022.02.25 01:00:40,31.087372,-85.821399
1,2022.02.25 01:15:50,31.087392,-85.821412
1,2022.02.25 01:30:54,31.087448,-85.821458
1,2022.02.25 01:46:07,31.087308,-85.821602
1,2022.02.25 02:00:55,31.087443,-85.821055
1,2022.02.25 02:16:06,31.08742,-85.821394
1,2022.02.25 02:31:01,31.087416,-85.82132
1,2022.02.25 02:46:03,31.087477,-85.821247
1,2022.02.25 03:00:50,31.087295,-85.821316
1,2022.02.25 03:15:50,31.087593,-85.821829
1,2022.02.25 03:30:39,31.087362,-85.821519
1,2022.02.25 03:45:50,31.087424,-85.821478
1,2022.02.25 04:00:41,31.087377,-85.821481
1,2022.02.25 04:15:49,31.087383,-85.821429
1,2022.02.25 04:31:06,31.087437,-85.821524
1,2022.02.25 04:46:06,31.087426,-85.821374
1,2022.02.25 05:01:19,31.087158,-85.821726
1,2022.02.25 05:15:51,31.087457,-85.821402
1,2022.02.25 05:31:02,31.087401,-85.821358
1,2022.02.25 05:46:00,31.087461,-85.821451
1,2022.02.25 06:01:00,31.087525,-85.821363
1,2022.02.25 06:16:06,31.087326,-85.821331
1,2022.02.25 06:30:55,31.087435,-85.821479
1,2022.02.25 06:45:54,31.087375,-85.821455
1,2022.02.25 07:00:37,31.087361,-85.821435
1,2022.02.25 07:15:54,31.087494,-85.821437
1,2022.02.25 07:31:07,31.087378,-85.821418
1,2022.02.25 07:45:54,31.087459,-85.821376
1,2022.02.25 08:01:32,31.087437,-85.821369
1,2022.02.25 08:15:54,31.087375,-85.821409
1,2022.02.25 08:31:02,31.087365,-85.821327
1,2022.02.25 08:46:00,31.087366,-85.821306
1,2022.02.25 09:01:06,31.087465,-85.821412
1,2022.02.25 09:16:00,31.087526,-85.821482
1,2022.02.25 09:30:55,31.087378,-85.82144
1,2022.02.25 09:46:24,31.087404,-85.821391
1,2022.02.25 10:00:57,31.087351,-85.821348
1,2022.02.25 10:15:57,31.08742,-85.821376
1,2022.02.25 10:31:06,31.087308,-85.821396
1,2022.02.25 10:46:00,31.087331,-85.821446
1,2022.02.25 11:00:55,31.087568,-85.821376
1,2022.02.25 11:16:06,31.087466,-85.821351
1,2022.02.25 11:31:06,31.08748,-85.821332
1,2022.02.25 11:45:41,31.087494,-85.821247
1,2022.02.25 12:01:06,31.087337,-85.821333
1,2022.02.25 12:15:51,31.087541,-85.821475
1,2022.02.25 12:31:01,31.087507,-85.821437
1,2022.02.25 12:45:50,31.087435,-85.8214
1,2022.02.25 13:00:50,31.087371,-85.821446
1,2022.02.25 13:16:25,31.087488,-85.821406
1,2022.02.25 13:30:51,31.087495,-85.821388
1,2022.02.25 13:46:07,31.087395,-85.821415
1,2022.02.25 14:01:25,31.087441,-85.82139
1,2022.02.25 14:15:55,31.087352,-85.821462
1,2022.02.25 14:30:50,31.087437,-85.821484
1,2022.02.25 14:45:55,31.087493,-85.821452
1,2022.02.25 15:01:01,31.087495,-85.821421
1,2022.02.25 15:16:07,31.087469,-85.821453
1,2022.02.25 15:31:07,31.087255,-85.821656
1,2022.02.25 15:46:36,31.087428,-85.821491
1,2022.02.25 16:01:02,31.087399,-85.821481
1,2022.02.25 16:16:26,31.087415,-85.821516
1,2022.02.25 16:32:55,31.08747,-85.821524
1,2022.02.25 16:45:55,31.087278,-85.821471
1,2022.02.25 17:01:24,31.087427,-85.82138
1,2022.02.25 17:16:00,31.087537,-85.821503
1,2022.02.25 17:30:50,31.08749,-85.8214
1,2022.02.25 17:46:06,31.087454,-85.821417
1,2022.02.25 18:01:06,31.087408,-85.8214
1,2022.02.25 18:16:29,31.087448,-85.821384
1,2022.02.25 18:31:00,31.087439,-85.821399
1,2022.02.25 18:45:50,31.087413,-85.821379
1,2022.02.25 19:00:57,31.087362,-85.82139
1,2022.02.25 19:16:26,31.087488,-85.82136
1,2022.02.25 19:30:47,31.087267,-85.821399
1,2022.02.25 19:46:02,31.087369,-85.821412
1,2022.02.25 20:00:55,31.08745,-85.821443
1,2022.02.25 20:16:06,31.087417,-85.821416
1,2022.02.25 20:30:40,31.087371,-85.821445
1,2022.02.25 20:46:29,31.087414,-85.821434
1,2022.02.25 21:00:45,31.087483,-85.821437
1,2022.02.25 21:15:37,31.087401,-85.821326
1,2022.02.25 21:30:37,31.087379,-85.82135
1,2022.02.25 21:46:28,31.087558,-85.821312
1,2022.02.25 22:01:59,31.087341,-85.821377
1,2022.02.25 22:16:36,31.087249,-85.821287
1,2022.02.25 22:31:01,31.087394,-85.821526
1,2022.02.25 22:47:37,31.087436,-85.821473
1,2022.02.25 23:01:36,31.087477,-85.821377
1,2022.02.25 23:16:53,31.087364,-85.821353
1,2022.02.25 23:31:06,31.087372,-85.821302
1,2022.02.25 23:46:05,31.087372,-85.821153
1,2022.02.26 00:01:06,31.087317,-85.821381
1,2022.02.26 00:15:50,31.087401,-85.821333
1,2022.02.26 00:31:01,31.087418,-85.821367
1,2022.02.26 00:46:06,31.087391,-85.821444
1,2022.02.26 01:00:50,31.087394,-85.821501
1,2022.02.26 01:16:59,31.087412,-85.821427
1,2022.02.26 01:31:06,31.087352,-85.821299
1,2022.02.26 01:45:50,31.087286,-85.821339
1,2022.02.26 02:00:50,31.087388,-85.821499
1,2022.02.26 02:15:50,31.087382,-85.821445
1,2022.02.26 02:31:00,31.087454,-85.821534
1,2022.02.26 02:45:50,31.087298,-85.821333
1,2022.02.26 03:01:00,31.087436,-85.821463
1,2022.02.26 03:16:11,31.087377,-85.821436
1,2022.02.26 03:31:36,31.087481,-85.821514
1,2022.02.26 03:46:06,31.087468,-85.821479
1,2022.02.26 04:00:37,31.087435,-85.821449
